date,home,away,lambda,mu,p_home,p_draw,p_away,exp_pts_home,exp_pts_away,ml_home_goals,ml_away_goals
NA,Man City,Arsenal,1.1199722800602778,1.1309402218673377,0.3370828240331307,0.320366176103741,0.3425509998631277,1.3316146482031332,1.3480191756931241,1,1
NA,Leeds,Arsenal,0.8138357488633599,1.518770420711071,0.1861366122166283,0.28924366467028495,0.5246197231130861,0.8476535013201698,1.8631028340095432,1,1
NA,Hull,Arsenal,0.6817001585315984,0.936741723615083,0.23869012009552426,0.3778009383011079,0.3835089416033681,1.0938712985876806,1.5283277631112122,0,0
NA,Brighton,Arsenal,0.9574621177779353,1.5639375125940356,0.21641655897636702,0.28371354703784474,0.499869893985788,0.9329632239669459,1.7833232289952088,1,1
NA,Chelsea,Arsenal,0.966873182170062,1.6194515486871564,0.21081786479751527,0.2773925054819883,0.5117896297204965,0.9098460998745341,1.8127613946434777,1,1
NA,Brentford,Arsenal,0.9186971299983963,1.5966069941642007,0.20203698781714846,0.2800139382685775,0.5179490739142745,0.886124901720023,1.833861160011401,1,1
NA,Liverpool,Arsenal,1.0539485347293256,1.5074682739582763,0.24978123911971126,0.28842223722524163,0.461796523655047,1.0377659545843754,1.6738118081903826,1,1
NA,Everton,Arsenal,0.7063418602217555,1.4053358726499157,0.17301569606618283,0.3042299034076321,0.5227544005261846,0.8232769916061806,1.872493104986186,0,1
NA,Ipswich,Arsenal,0.6576633002055124,2.5599099406121493,0.06535555913944362,0.15846988750438926,0.776174553356167,0.3545365649227201,2.48699354757289,0,2
NA,Nott'm Forest,Arsenal,0.7879444272695614,1.446449401466654,0.18922059396229568,0.2987660921828285,0.5120133138548757,0.8664278740697156,1.8348060337474557,0,1
NA,Newcastle,Arsenal,0.9168467957410489,1.673520563880071,0.19122356622987144,0.2709663717745191,0.5378100619956097,0.8446370704641334,1.884396557761348,1,1
NA,Man United,Arsenal,0.9410597673118762,1.599452146051117,0.2072176212932716,0.2796969088847833,0.5130854698219451,0.901349772764598,1.8189533183506188,1,1
NA,Bournemouth,Arsenal,0.898614566976036,1.569264804081447,0.2007903702506256,0.28323737433917423,0.5159722554102002,0.8856084850910511,1.8311541405697749,1,1
NA,Crystal Palace,Arsenal,0.7196749089091207,1.7430117542711827,0.1369420021727776,0.25711563121345654,0.605942366613766,0.6679416377317893,2.0749427310547546,0,1
NA,Tottenham,Arsenal,0.7284488429927946,1.8031758032006389,0.13279760037923588,0.24959163647449145,0.617610763146273,0.647984437612199,2.1024239259133104,0,1
NA,Fulham,Arsenal,0.7334803994460556,1.5994694142076982,0.1559311756802954,0.27705000241935845,0.5670188219003459,0.7448435294602447,1.9781064681203961,0,1
NA,Coventry,Arsenal,0.3021333597429127,2.2643772519480794,0.030426367954968628,0.15205543723771756,0.8175181948073141,0.24333454110262343,2.60461002165966,0,2
NA,Arsenal,Man City,1.333094332214487,0.950136586952983,0.4391645039169448,0.3101780043258926,0.25065749175716273,1.627671516076727,1.0621504795973808,1,1
NA,Leeds,Man City,1.0383413610295131,1.6279531901614235,0.2272921730522421,0.27611895702862427,0.4965888699191338,0.9579954761853506,1.7658855667860256,1,1
NA,Hull,Man City,0.869754703467294,1.0040830770212856,0.28737165997233144,0.3530727421184373,0.3595555979092311,1.2151877220354317,1.4317395358461305,0,0
NA,Brighton,Man City,1.2215886558144542,1.6763672956236304,0.264876848651462,0.26877504959238163,0.46634810175615665,1.0634055955467676,1.6678193548608515,1,1
NA,Chelsea,Man City,1.2335958666347027,1.735872175969022,0.2584582799165842,0.26333996201201393,0.4782017580714017,1.0387148017617664,1.6979452362262188,1,1
NA,Brentford,Man City,1.1721299164711458,1.7113853510306944,0.24747059501077381,0.2664378816078188,0.48609152338140765,1.00884966664014,1.7247124517520418,1,1
NA,Liverpool,Man City,1.3446919203713281,1.6158385442538017,0.30506575758985327,0.2702495097934499,0.4246847326166968,1.1854467825630097,1.5443037076435404,1,1
NA,Everton,Man City,0.901194091705985,1.5063639546374537,0.2103742861581647,0.290807039370465,0.4988186744713705,0.921929897844959,1.7872630627845765,1,1
NA,Ipswich,Man City,0.8390870113389503,2.7439391085812384,0.08038135238686474,0.15537836692589133,0.7642402806872435,0.3965224240864855,2.448099208987622,0,2
NA,Nott'm Forest,Man City,1.005307631385534,1.550433090751302,0.23058067100807741,0.2847537745308826,0.48466555446103987,0.9764957875551148,1.7387504379140022,1,1
NA,Newcastle,Man City,1.1697691469991522,1.7938281544183396,0.23471455711062453,0.25877266216596717,0.5065127807234077,0.9629163334978408,1.7783110043361903,1,1
NA,Sunderland,Man City,0.8163687820613121,1.5623337994820383,0.18103071555623174,0.28359598372943084,0.5353733007143378,0.826688130398126,1.889715885872444,1,1
NA,Bournemouth,Man City,1.1465073558368628,1.6820775603572502,0.24572263858686966,0.26952683302952446,0.48475052838360594,1.0066947487901334,1.7237784181803422,1,1
