team,position,prob
Arsenal,1,0.5192
Arsenal,2,0.2847
Arsenal,3,0.1127
Arsenal,4,0.0409
Arsenal,5,0.0201
Arsenal,6,0.0106
Arsenal,7,0.0046
Arsenal,8,0.004
Arsenal,9,0.001
Arsenal,10,9e-4
Arsenal,11,3e-4
Arsenal,12,4e-4
Arsenal,13,5e-4
Arsenal,14,1e-4
Arsenal,15,0
Arsenal,16,0
Arsenal,17,0
Arsenal,18,0
Arsenal,19,0
Arsenal,20,0
Man City,1,0.3246
Man City,2,0.3647
Man City,3,0.1526
Man City,4,0.0679
Man City,5,0.0401
Man City,6,0.0213
Man City,7,0.012
Man City,8,0.0054
Man City,9,0.0053
Man City,10,0.003
Man City,11,0.0013
Man City,12,0.001
Man City,13,7e-4
Man City,14,0
Man City,15,1e-4
Man City,16,0
Man City,17,0
Man City,18,0
Man City,19,0
Man City,20,0
Leeds,1,0.0078
Leeds,2,0.0245
Leeds,3,0.067
Leeds,4,0.0795
Leeds,5,0.0766
Leeds,6,0.08
Leeds,7,0.0811
Leeds,8,0.0736
Leeds,9,0.0746
Leeds,10,0.0647
Leeds,11,0.0694
Leeds,12,0.0641
Leeds,13,0.0538
Leeds,14,0.0502
Leeds,15,0.0427
Leeds,16,0.036
Leeds,17,0.0304
Leeds,18,0.0154
Leeds,19,0.0069
Leeds,20,0.0017
Hull,1,0.094
Hull,2,0.1
Hull,3,0.1162
Hull,4,0.0838
Hull,5,0.0688
Hull,6,0.0596
Hull,7,0.0548
Hull,8,0.0425
Hull,9,0.044
Hull,10,0.0414
Hull,11,0.0383
Hull,12,0.0342
Hull,13,0.0359
Hull,14,0.0332
Hull,15,0.0327
Hull,16,0.029
Hull,17,0.0317
Hull,18,0.0325
Hull,19,0.0256
Hull,20,0.0018
Brighton,1,0.0099
Brighton,2,0.0392
Brighton,3,0.0832
Brighton,4,0.1011
Brighton,5,0.0998
Brighton,6,0.0973
Brighton,7,0.0924
Brighton,8,0.081
Brighton,9,0.0747
Brighton,10,0.0659
Brighton,11,0.0605
Brighton,12,0.0475
Brighton,13,0.0414
Brighton,14,0.0338
Brighton,15,0.0276
Brighton,16,0.0221
Brighton,17,0.0136
Brighton,18,0.0072
Brighton,19,0.0016
Brighton,20,2e-4
Chelsea,1,0.0109
Chelsea,2,0.0392
Chelsea,3,0.0874
Chelsea,4,0.1098
Chelsea,5,0.1072
Chelsea,6,0.1008
Chelsea,7,0.0914
Chelsea,8,0.0842
Chelsea,9,0.0686
Chelsea,10,0.0661
Chelsea,11,0.0553
Chelsea,12,0.047
Chelsea,13,0.0409
Chelsea,14,0.0297
Chelsea,15,0.0255
Chelsea,16,0.0161
Chelsea,17,0.0115
Chelsea,18,0.0047
Chelsea,19,0.0037
Chelsea,20,0
Brentford,1,0.0043
Brentford,2,0.0183
Brentford,3,0.0558
Brentford,4,0.0789
Brentford,5,0.0847
Brentford,6,0.0887
Brentford,7,0.0794
Brentford,8,0.0829
Brentford,9,0.075
Brentford,10,0.079
Brentford,11,0.0654
Brentford,12,0.0634
Brentford,13,0.0547
Brentford,14,0.0502
Brentford,15,0.0435
Brentford,16,0.0324
Brentford,17,0.0235
Brentford,18,0.0153
Brentford,19,0.0041
Brentford,20,5e-4
Liverpool,1,0.017
Liverpool,2,0.0633
Liverpool,3,0.1348
Liverpool,4,0.1326
Liverpool,5,0.1125
Liverpool,6,0.0969
Liverpool,7,0.0894
Liverpool,8,0.0729
Liverpool,9,0.0583
Liverpool,10,0.0513
Liverpool,11,0.041
Liverpool,12,0.0365
Liverpool,13,0.0283
Liverpool,14,0.0207
Liverpool,15,0.0169
Liverpool,16,0.013
Liverpool,17,0.0083
Liverpool,18,0.0051
Liverpool,19,0.0011
Liverpool,20,1e-4
Everton,1,0.0011
Everton,2,0.0079
Everton,3,0.0204
Everton,4,0.0312
Everton,5,0.0477
