team,played,eff_matches,low_data,current_pts,exp_pts,pts_p05,pts_p95,exp_pos,p_title,p_top4,p_top6,p_relegation
Arsenal,4,40.9,FALSE,12,80.3217,66,94,1.8526,51.92,95.75,98.82,0
Man City,4,41,FALSE,12,76.8166,62,91,2.3535,32.46,90.98,97.11999999999999,0
Liverpool,4,41,FALSE,6,60.6413,45,75,6.733,1.7000000000000002,34.77,55.71,0.63
Hull,4,3.9,TRUE,8,60.6356,35,87,7.577,9.4,39.4,52.239999999999995,5.99
Chelsea,4,41,FALSE,7,58.5237,44,74,7.6336,1.09,24.73,45.53,0.84
Brighton,4,41,FALSE,7,57.6765,43,73,7.8609,0.9900000000000001,23.34,43.05,0.8999999999999999
Brentford,4,41,FALSE,6,55.2174,40,70,8.9914,0.43,15.73,33.07,1.9900000000000002
Leeds,4,28.3,FALSE,8,55.4207,39,72,9.0241,0.7799999999999999,17.88,33.54,2.4
Man United,4,41,FALSE,4,54.3701,39,70,9.3978,0.38,13.88,29.03,2.35
Newcastle,4,41,FALSE,5,52.7708,38,68,10.1207,0.29,9.25,22.35,2.98
Nott'm Forest,4,41,FALSE,5,52.7222,38,67,10.1326,0.2,8.89,22.37,3.37
Bournemouth,4,41,FALSE,3,52.5814,38,67,10.1426,0.12,9.85,22.59,3.17
Everton,4,41,FALSE,6,50.648,36,66,11.0676,0.11,6.0600000000000005,16.04,5.25
Aston Villa,4,41,FALSE,1,48.8181,34,64,11.8856,0.06999999999999999,4.49,12.27,8.1
Sunderland,4,28.3,FALSE,4,45.0707,30,61,13.4824,0.02,2.2399999999999998,6.6000000000000005,15.959999999999999
Fulham,4,41,FALSE,1,42.7422,28,58,14.3972,0,1.23,3.6799999999999997,22.16
Crystal Palace,4,41.1,FALSE,3,42.0331,27,57,14.7275,0.02,0.9299999999999999,3.34,26
Tottenham,4,41,FALSE,2,40.5603,27,55,15.3372,0,0.38999999999999996,1.87,30.78
Ipswich,4,16.6,FALSE,6,31.2895,18,47,17.8934,0,0.06999999999999999,0.38,74.18
Coventry,4,3.9,TRUE,0,17.8113,4,39,19.3893,0.02,0.13999999999999999,0.4,92.95
